code,name,sector,theme,fundamental_quality,policy_theme,concept_purity
000100,TCL科技,消费电子,高端制造,strong,高端制造,related
000157,中联重科,智能制造,高端制造,strong,智能制造,related
000333,美的集团,智能制造,高端制造,strong,智能制造,related
000400,许继电气,电力电子,高端制造,strong,高端制造,related
000536,华映科技,消费电子,高端制造,weak,高端制造,weak
000555,神州信息,信创,数据要素,medium,信创,related
000725,京东方A,消费电子,高端制造,strong,高端制造,core
000733,振华科技,电力电子,高端制造,strong,高端制造,core
000818,航锦科技,半导体材料,国产替代,medium,半导体材料,related
000823,超声电子,PCB,高端制造,medium,高端制造,core
000877,天山股份,智能制造,高端制造,weak,高端制造,weak
000901,航天科技,汽车电子,高端制造,weak,汽车电子,related
000938,紫光股份,服务器/算力基础设施,算力基础设施,strong,算力基础设施,core
000948,南天信息,信创,数字经济,medium,信创,related
000977,浪潮信息,服务器/算力基础设施,算力基础设施,strong,算力基础设施,core
000988,华工科技,光模块,算力基础设施,strong,算力基础设施,core
000997,新大陆,数据要素,数字经济,medium,数据要素,related
001286,陕西能源,电力电子,高端制造,weak,高端制造,weak
001309,德明利,半导体材料,国产替代,medium,半导体材料,related
001314,亿道信息,信创,数字经济,weak,信创,related
001339,智微智能,服务器/算力基础设施,算力基础设施,medium,算力基础设施,related
001696,宗申动力,汽车电子,高端制造,medium,汽车电子,related
001979,招商蛇口,数据中心,数据要素,weak,数据中心,weak
002008,大族激光,智能制造,高端制造,strong,高端制造,core
002031,巨轮智能,机器人零部件,机器人,weak,机器人,related
002036,联创电子,传感器,汽车电子,medium,汽车电子,related
002049,紫光国微,半导体材料,国产替代,strong,半导体材料,core
002056,横店东磁,电力电子,高端制造,strong,高端制造,related
002063,远光软件,工业软件,数字经济,medium,数据要素,related
002065,东华软件,信创,数字经济,medium,信创,related
002073,软控股份,工业软件,智能制造,medium,工业软件,related
002074,国轩高科,电力电子,高端制造,strong,高端制造,related
002079,苏州固锝,半导体材料,国产替代,medium,半导体材料,related
002085,万丰奥威,汽车电子,高端制造,medium,汽车电子,related
002121,科陆电子,电力电子,高端制造,medium,高端制造,related
002138,顺络电子,电力电子,国产替代,strong,汽车电子,core
002153,石基信息,工业软件,数字经济,medium,工业软件,related
002156,通富微电,半导体材料,国产替代,strong,半导体材料,core
002180,纳思达,信创,国产替代,strong,信创,core
002185,华天科技,半导体材料,国产替代,strong,半导体材料,core
002222,福晶科技,半导体材料,国产替代,medium,半导体材料,related
002230,科大讯飞,工业软件,数字经济,strong,数据要素,core
002236,大华股份,网络安全,数字经济,strong,网络安全,core
002241,歌尔股份,消费电子,高端制造,strong,高端制造,core
002261,拓维信息,信创,数据要素,medium,信创,related
002273,水晶光电,消费电子,高端制造,strong,汽车电子,related
002281,光迅科技,光模块,算力基础设施,strong,算力基础设施,core
002335,科华数据,数据中心,算力基础设施,strong,数据中心,core
002362,汉王科技,工业软件,数字经济,weak,数据要素,weak
002368,太极股份,信创,国产替代,strong,信创,core
002369,卓翼科技,消费电子,高端制造,weak,高端制造,weak
002371,北方华创,半导体设备,国产替代,strong,半导体设备,core
002396,星网锐捷,网络安全,数字经济,strong,网络安全,core
002402,和而泰,电力电子,高端制造,strong,汽车电子,related
002410,广联达,工业软件,智能制造,strong,工业软件,core
002415,海康威视,网络安全,数字经济,strong,网络安全,core
002418,康盛股份,数据中心,算力基础设施,weak,数据中心,weak
002436,兴森科技,PCB,高端制造,strong,高端制造,core
002456,欧菲光,消费电子,高端制造,medium,汽车电子,related
002463,沪电股份,PCB,算力基础设施,strong,算力基础设施,core
002465,海格通信,通信设备,高端制造,strong,高端制造,core
002475,立讯精密,连接器,高端制造,strong,高端制造,core
002484,江海股份,电力电子,高端制造,strong,高端制造,related
002491,通鼎互联,通信设备,高端制造,weak,高端制造,weak
002515,金字火腿,智能制造,高端制造,weak,高端制造,weak
002517,恺英网络,数据要素,数字经济,medium,数据要素,weak
002518,科士达,数据中心,算力基础设施,strong,数据中心,related
002548,金新农,智能制造,高端制造,weak,高端制造,weak
002555,三七互娱,数据要素,数字经济,strong,数据要素,weak
002577,雷柏科技,消费电子,高端制造,weak,高端制造,weak
002583,海能达,通信设备,高端制造,medium,高端制造,related
002602,世纪华通,数据要素,数字经济,medium,数据要素,weak
002609,捷顺科技,工业软件,数字经济,weak,工业软件,weak
002635,安洁科技,连接器,高端制造,medium,高端制造,core
002642,荣联科技,信创,数字经济,weak,信创,weak
002654,万润科技,半导体材料,国产替代,weak,半导体材料,weak
002657,中科金财,信创,数据要素,weak,信创,weak
002661,克明食品,智能制造,高端制造,weak,高端制造,weak
002670,国盛金控,数据要素,数字经济,weak,数据要素,weak
002681,奋达科技,消费电子,高端制造,medium,高端制造,related
002705,新宝股份,智能制造,高端制造,strong,智能制造,related
002709,天赐材料,半导体材料,国产替代,strong,半导体材料,related
002747,埃斯顿,机器人零部件,机器人,strong,机器人,core
002837,英维克,数据中心,算力基础设施,strong,数据中心,core
002841,视源股份,消费电子,高端制造,strong,高端制造,related
002859,洁美科技,半导体材料,国产替代,strong,半导体材料,core
002869,金溢科技,传感器,汽车电子,medium,汽车电子,related
002876,三利谱,半导体材料,国产替代,medium,半导体材料,related
002881,美格智能,通信设备,算力基础设施,medium,算力基础设施,related
002896,中大力德,机器人零部件,机器人,medium,机器人,core
002916,深南电路,PCB,高端制造,strong,高端制造,core
002920,德赛西威,汽车电子,高端制造,strong,汽车电子,core
002938,鹏鼎控股,PCB,高端制造,strong,高端制造,core
002979,雷赛智能,机器人零部件,机器人,strong,机器人,core
002988,豪美新材,连接器,高端制造,medium,高端制造,related
002992,宝明科技,消费电子,高端制造,weak,高端制造,weak
